	doc_id	sent_id	sent	subj	subj_begin	subj_end	subj_tag	rel	obj	obj_begin	obj_end	obj_tag
0	27606247	0	He was also a torch-bearer of the implementation of the most current teaching methods , including the American pragmatism methods headed by John Dewey .  At the time of the closing of the University of Havana during the dictatorship of Gerardo Machado , Aguayo organized the Academia Pedagógica de La Habana , to look after the training of teachers .	John Dewey	140	150	PERSON	P69	University of Havana	188	208	ORGANIZATION
1	44368190	1	The Thurmond and Lucy Chatham House is a historic home located at Winston-Salem , Forsyth County , North Carolina .	Forsyth County	82	96	LOCATION	P47	North Carolina	99	113	LOCATION
2	44368190	2	Also on the property is a contributing 1 1/2 - story garage / apartment .  It was built for Congressman and businessman Richard Thurmond Chatham -LRB- 1896-1957 -RRB- , who also served as president of the Chatham Manufacturing Company and his wife , Lucy Hodgin Hanes .	Richard Thurmond Chatham	120	144	PERSON	P69	Chatham Manufacturing Company	205	234	ORGANIZATION
3	4491323	3	Lengerich is a municipality in the Emsland district , in Lower Saxony , Germany .	Emsland	35	42	LOCATION	P131	Germany	72	79	LOCATION
4	4491323	3	Lengerich is a municipality in the Emsland district , in Lower Saxony , Germany .	Lower Saxony	57	69	LOCATION	P47	Germany	72	79	LOCATION
5	50921561	4	In 1856 , Pond moved to the town of Springfield , Marquette County , Wisconsin and was a farmer .	Marquette County	50	66	LOCATION	P47	Wisconsin	69	78	LOCATION
6	15680839	6	He lost in the Republican primary to Dick Zimmer , a former member of the House of Representatives .	Dick Zimmer	37	48	PERSON	P69	House of Representatives	74	98	ORGANIZATION
7	21980654	7	He became a US citizen in 1977 .  He did research and taught in Europe at the Medical University of Gdansk and the Università degli studi di Camerino , and in the USA at the Baylor College of Medicine and the Ponce School of Medicine .	Camerino	141	149	LOCATION	P47	USA	163	166	LOCATION
8	21002432	8	Czarny Las -LSB- ˈt͡ʂarnɨ ˈlas -RSB- is a settlement in the administrative district of Gmina Krzemieniewo , within Leszno County , Greater Poland Voivodeship , in west-central Poland .	Leszno County	115	128	LOCATION	P47, P150	Poland	176	182	LOCATION
9	41451798	9	Robert A. Collins -LRB- November 4 , 1924 -- January 4 , 2003 -RRB- was a member of the Wisconsin State Assembly . Collins was born in Milwaukee , Wisconsin .	Robert A. Collins	0	17	PERSON	P69	Wisconsin State Assembly	88	112	ORGANIZATION
10	48899257	10	This line crosses five districts of Wuhan : Jiang ` an District , Jianghan District , Qiaokou District , Hanyang District and Hannan District -LRB- Wuhan Economic-Technological Zone , WEDZ -RRB- .	Jianghan District	66	83	LOCATION	P150	Qiaokou District	86	102	LOCATION
11	48899257	10	This line crosses five districts of Wuhan : Jiang ` an District , Jianghan District , Qiaokou District , Hanyang District and Hannan District -LRB- Wuhan Economic-Technological Zone , WEDZ -RRB- .	Qiaokou District	86	102	LOCATION	P150	Hannan District	126	141	LOCATION
12	19634842	11	Oakland 's Broadway Auto Row is a neighborhood of North Oakland along Broadway between Grand Avenue at the Southwest and I-580 , 40th Street or even 51st Street to the Northeast .	North Oakland	50	63	LOCATION	P131	Broadway	70	78	LOCATION
13	138795	12	Birch Creek is a town in Chippewa County in the U.S. state of Wisconsin .	Chippewa County	25	40	LOCATION	P47	Wisconsin	62	71	LOCATION
14	42227929	13	Pielavesi is a large lake in the Kymijoki main catchment area in Northern Savonia , Finland .	Northern Savonia	65	81	LOCATION	P47	Finland	84	91	LOCATION
