	subj	subj_qid	subj_fid	rel_id	rel	rel_schema	obj	obj_qid	obj_fid
0	John Dewey	Q131805	/m/04411	P69	educated at		University of Havana	Q837320	/m/04bb18
1	Forsyth County	Q493092	/m/0nzpq	P47	shares border with		North Carolina	Q1454	/m/05fkf
2	Richard Thurmond Chatham	Q745536		P69	educated at		Chatham Manufacturing Company	Q5087676	
3	Emsland	Q145620	/m/06znn0g	P131	located in the administrative territorial entity		Germany	Q1350565	
4	Marquette County	Q500918	/m/0mkrh	P47	shares border with		Wisconsin	Q8027102	
5	Dick Zimmer	Q1209858		P69	educated at		House of Representatives	Q1138354	
6	Camerino	Q73489	/m/08nc6f	P47	shares border with		USA	Q193619	/m/0c4b8
7	Leszno County	Q133202	/m/0f7bkz	P47	shares border with		Poland	Q7208881	
8	Leszno County	Q133202	/m/0f7bkz	P150	contains administrative territorial entity		Poland	Q7208881	
9	Robert A. Collins	Q16015775		P69	educated at		Wisconsin State Assembly	Q1236853	/m/02kd0v
10	Jianghan District	Q747296	/m/080m8tt	P150	contains administrative territorial entity		Qiaokou District	Q1337131	/m/0807dyc
11	North Oakland	Q7056205		P131	located in the administrative territorial entity		Broadway	Q254416	/m/0f6hv6
12	Chippewa County	Q127184	/m/0ml3p	P47	shares border with		Wisconsin	Q8027102	
13	Northern Savonia	Q5706	/m/02mszs	P47	shares border with		Finland	Q5450446	
14	Xianghe County	Q1196474	/m/080cttl	P150	contains administrative territorial entity		Hebei	Q21208	/m/0jk_8
15	Solna Municipality	Q109010	/m/0nrbg	P47	shares border with		Sweden	Q7654280	
16	Brunnsviken	Q992937		P131	located in the administrative territorial entity		Stockholm Arlanda Airport	Q223499	/m/015tns
17	Longsight	Q2423211	/m/04p7gb	P131	located in the administrative territorial entity		Manchester	Q1502741	/m/010rxp
18	James Blunt	Q130799	/m/063t3j	P69	educated at		Los Angeles	Q970703	
19	Moravian Church	Q159318	/m/04jmfz	P17	country		Moravia	Q6909324	
20	Zambales	Q13895	/m/01lwm3	P150	contains administrative territorial entity		Department of Agriculture	Q5260138	
21	Changliu	Q5072074		P150	contains administrative territorial entity		Hainan	Q42200	/m/0166br
22	Old San Antonio Road	Q819217		P131	located in the administrative territorial entity		San Marcos River	Q17108576	
23	Joe Ben Wheat	Q6208578		P69	educated at		Arizona	Q17985598	
24	Sly James	Q7542419		P69	educated at		Nashville	Q2466777	/m/0yyv7
25	Jesse Clyde Nichols	Q6186228		P69	educated at		Kansas City	Q3709254	
26	Great Smoky Mountains National Park	Q464004	/m/01_yf9	P131	located in the administrative territorial entity		Little Tennessee River	Q1137567	/m/02ppt8
27	Jimmy Webb	Q3179158		P54	member of sports team		Epic Records	Q216364	/m/033hn8
28	Taytay	Q111730	/m/06s5p7	P47	shares border with		Rizal	Q75928	/m/04p1p2
29	Marcoing	Q626527	/m/03h2c03	P131	located in the administrative territorial entity		Cambrai	Q5025235	
30	Marcoing	Q626527	/m/03h2c03	P47	shares border with		Cambrai	Q5025235	
31	Bill Thomas	Q132302		P69	educated at		Elektra	Q1326392	
32	Metula	Q1011497	/m/07qt8l	P17	country		Kiryat Shmona	Q327413	/m/029dfk
33	Villamejil	Q1640113	/m/02z90qm	P47	shares border with		Castile	Q5049875	
34	Mark Reckless	Q575027		P69	educated at		Rochester	Q1505161	/m/010vgj
35	Samuel S. Wilks	Q2250213	/m/026sxy7	P69	educated at		Princeton	Q1967546	/m/0rnvc
36	Eugene Thomas Maleska	Q5407794		P69	educated at		NPR	Q671510	/m/0c0sl
37	Lucian	Q177847	/m/01612m	P19	place of birth	birthPlace	Rome	Q567806	/m/02j20d
38	Arras	Q131329	/m/0qb56	P131	located in the administrative territorial entity		Ablain-Saint-Nazaire	Q318255	/m/04cwsk
39	Arras	Q131329	/m/0qb56	P47	shares border with		Ablain-Saint-Nazaire	Q318255	/m/04cwsk
40	Arras	Q131329	/m/0qb56	P1376	capital of		Ablain-Saint-Nazaire	Q318255	/m/04cwsk
41	Douai	Q193826	/m/0md1m	P131	located in the administrative territorial entity		Arras	Q131329	/m/0qb56
42	Douai	Q193826	/m/0md1m	P47	shares border with		Arras	Q131329	/m/0qb56
43	Douai	Q193826	/m/0md1m	P1376	capital of		Arras	Q131329	/m/0qb56
44	Anhalt-Bitterfeld	Q6071	/m/02vmpr9	P47	shares border with		Germany	Q1350565	
45	Anadyr	Q7978	/m/0514qp	P1376	capital of		Siberia	Q7506983	
46	Pamir Mountains	Q161750	/m/02hp2t	P17	country		Tibet	Q2444884	
47	Yuri Andropov	Q44071	/m/0d8t4	P27	country of citizenship	nationality	Washington	Q773030	
48	Morinville	Q1746026	/m/0728hd	P47	shares border with		Alberta	Q2831695	
49	Puthencavu	Q7262215		P131	located in the administrative territorial entity		Chengannur	Q24325964	
50	Bandra	Q257622	/m/028lgm	P131	located in the administrative territorial entity		Udaipur	Q7876885	
51	Robert Stodart Lorimer	Q2158075		P69	educated at		Edinburgh	Q16834597	
52	Banff National Park	Q41858	/m/01dq0h	P131	located in the administrative territorial entity		Alberta	Q2831695	
53	Yma Sumac	Q239030	/m/03q6sv	P27	country of citizenship	nationality	Callao	Q2055072	
54	Pearl S. Buck	Q80900	/m/0162wz	P69	educated at		Vineland Training School	Q7932448	
55	Sarpy County	Q496009	/m/0n6zd	P47	shares border with		Omaha	Q7089398	
56	Stark County	Q282188	/m/0n2_m	P47	shares border with		Ohio	Q927274	
57	Putnam County	Q498341	/m/0frf_	P47	shares border with		New York	Q60	/m/02_286
58	Washtenaw County	Q137916	/m/0nj0m	P47	shares border with		Michigan	Q6030252	
59	Allegheny County	Q156291	/m/0m7d0	P47	shares border with		Allegheny County Airport	Q4731288	
60	Masovian Voivodeship	Q54169		P47	shares border with		Poland	Q7208881	
61	Esmeralda County	Q484349	/m/0n6rf	P47	shares border with		Marysville	Q6781746	
62	Addis Ababa	Q3624	/m/0dttf	P1376	capital of		Kassala	Q686813	/m/056gvt
63	Georgi Dimitrov	Q5547126		P54	member of sports team		Sunderland	Q541129	
64	David Reville	Q5239004		P69	educated at		Toronto	Q2249475	
65	Munir Sheikh	Q6936667		P69	educated at		Ontario	Q1062	/m/04kc4
66	White County	Q389365	/m/0nyjh	P47	shares border with		Indiana	Q3150103	/m/0h6jpq
67	Tuscarawas County	Q421963	/m/0mymy	P47	shares border with		Ohio	Q927274	
68	Bethlehem	Q5776	/m/01cy_	P131	located in the administrative territorial entity		Pennsylvania	Q1400	/m/05tbn
69	Kano State	Q682571	/m/06ntl5	P47	shares border with		House of Representatives	Q1138354	
70	Zabaykalsky Krai	Q6838	/m/02pfmnj	P47	shares border with		Siberia	Q7506983	
71	Butler County	Q108871	/m/0k6cp	P47	shares border with		Iowa	Q2238109	/m/0tj_r
72	Karlskrona	Q25789	/m/03zs99	P1376	capital of		Blekinge	Q675653	/m/019_kc
73	James Weldon Johnson	Q478450	/m/01dqtk	P69	educated at		New London	Q2417089	
74	Nella Larsen	Q453665	/m/0prwh	P69	educated at		South	Q1684191	
75	Nicaragua	Q811	/m/05c74	P47	shares border with		New York City	Q60	/m/02_286
76	Nanterre	Q170507	/m/03wtx4	P131	located in the administrative territorial entity		Paris	Q90	/m/05qtj
77	Nanterre	Q170507	/m/03wtx4	P47	shares border with		Paris	Q90	/m/05qtj
78	Nanterre	Q170507	/m/03wtx4	P1376	capital of		Paris	Q90	/m/05qtj
79	Harrie Massey	Q1586143	/m/0b_z_g	P69	educated at		University College	Q7894610	
80	Phillips County	Q374404	/m/0npbz	P47	shares border with		Arkansas	Q4791721	
81	St. Peter	Q690687	/m/02r6qbb	P131	located in the administrative territorial entity		St. Paul	Q6506797	
82	Republic of Ireland	Q27	/m/03rt9	P150	contains administrative territorial entity		Northern Ireland	Q7058448	
83	Caledonia	Q22	/m/06q1r	P131	located in the administrative territorial entity		Scotland	Q3474402	
84	Lindisfarne	Q124370		P131	located in the administrative territorial entity		United Kingdom	Q145	/m/07ssc
85	William III	Q129987	/m/0cr4t	P27	country of citizenship	nationality	England	Q79282	/m/07ltmv
86	John Paul II	Q989	/m/05yfx	P69	educated at		Phoenix Park	Q21934889	
87	James Hoban	Q470765	/m/02pxdx	P27	country of citizenship	nationality	White House	Q2566904	
