Wall time,Step,Value
1492274590.739086,50,0.39151856303215027
1492274594.459171,100,0.2743186056613922
1492274599.631466,150,0.24612966179847717
1492274603.634166,200,0.13482622802257538
1492274609.124048,250,0.13614217936992645
1492274613.407746,300,0.15022878348827362
1492274620.847683,350,0.0793374627828598
1492274626.014663,400,0.09742438048124313
1492274632.88848,450,0.09504444152116776
1492274637.481283,500,0.069215327501297
1492274644.112451,550,0.07080816477537155
1492274649.25137,600,0.08020887523889542
1492274656.247194,650,0.06365285068750381
1492274661.490074,700,0.05652469024062157
1492274672.158445,750,0.06001581996679306
1492274677.675034,800,0.05986702814698219
1492274686.737102,850,0.08114757388830185
1492274692.508465,900,0.0736088827252388
1492274701.055022,950,0.07108678668737411
1492274706.782255,1000,0.07330230623483658
1492274716.082844,1050,0.0721612498164177
1492274722.844876,1100,0.05378028377890587
1492274732.170048,1150,0.06269195675849915
1492274739.597287,1200,0.07838097959756851
1492274749.414038,1250,0.07536880671977997
1492274756.207636,1300,0.10144999623298645
1492274766.385379,1350,0.09123075753450394
1492274773.53779,1400,0.08097637444734573
1492274785.493458,1450,0.07969783991575241
1492274795.413729,1500,0.06368260085582733
